"model","scenario","region","variable","unit","version","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Gender Inequality Model (2021)","SSP1","World","Gender Inequality Index","",1,0.3369007175521361,0.2637024755940005,0.2106468413919196,0.1621420608125845,0.1224331559843886,0.091412088887178,0.06597198089286849,0.04885640151374908,0.03561867274591951,0.02541259888151206,0.01860846566388225,0.01345752033078171,0.009661670738591293,0.007099283564206528,0.005209455229742863,0.003816115080593019,0.002875561717870248,0.002197623236089893
"Gender Inequality Model (2021)","SSP2","World","Gender Inequality Index","",1,0.3376386624892265,0.3195172377585019,0.2909979948209506,0.2585275101506905,0.2338267493672983,0.2094284005172949,0.183370021432571,0.1626155238437546,0.1453456993397303,0.1304164055830384,0.1131379206866479,0.09942555651173099,0.08871023823352646,0.07708849903414725,0.06822572649553091,0.06039396397204144,0.05268172561452474,0.04578899862468237
"Gender Inequality Model (2021)","SSP3","World","Gender Inequality Index","",1,0.3384783437599875,0.3592972497376142,0.3602820265508379,0.3584926686638031,0.3508574565347624,0.3547045474546243,0.3570408203669615,0.3596537836293718,0.3642612380749202,0.3682854641379507,0.3731215940646733,0.3742728514511148,0.3780728615698201,0.3823150634156269,0.3859303748213254,0.3863223368734354,0.3902281668240353,0.3928401603504048
"Gender Inequality Model (2021)","SSP4","World","Gender Inequality Index","",1,0.3380555735856741,0.3435879492996798,0.3359133872839373,0.3221146695414529,0.3159754481343546,0.3027919077978956,0.2946387665191686,0.2907917807645491,0.2825144836962715,0.2785094388806645,0.2724920392634665,0.2709270503591192,0.2647111247129992,0.2615481648485301,0.2568056185989779,0.2501388438117534,0.2448635191559582,0.2440963459071911
"Gender Inequality Model (2021)","SSP5","World","Gender Inequality Index","",1,0.3366285498689143,0.2635128470983409,0.2099346919107569,0.1608301787703464,0.1216925063048561,0.08967540045897064,0.06487765442625915,0.04788444575780468,0.03462669248676441,0.02471289637695893,0.01790005920476841,0.01288122945485356,0.009297767918559165,0.006751495506344079,0.005018136558742497,0.00365137044785597,0.002777823992701623,0.002139632801482886
