"model","scenario","version","region","unit","variable","type","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"IMAGE","SSP1-Baseline",1,"World","million ha","Land Cover|Built-up Area","ANNUAL",67.19200000000001,62.9635625,77.41855625000001,91.69869375,104.73540625,115.6914125,119.3473,121.2211125,121.24595,119.400025,115.9869125
"IMAGE","SSP2-Baseline",1,"World","million ha","Land Cover|Built-up Area","ANNUAL",67.19200000000001,62.95294375,75.48005,88.25810625,100.1487625,110.652775,115.584075,119.006925,120.772725,121.0541875,120.1727875
"IMAGE","SSP3-Baseline",1,"World","million ha","Land Cover|Built-up Area","ANNUAL",67.19200000000001,63.02425625,73.13155,82.76765625,91.1929375,98.6875375,102.96260625,106.33355,108.9107,110.79385,112.1953625
"IMAGE","SSP4-Baseline",1,"World","million ha","Land Cover|Built-up Area","ANNUAL",67.19200000000001,62.93048750000001,77.13369375,91.29035,104.18885,115.47285,119.6939375,122.2585,123.2802875,123.099775,122.067575
"IMAGE","SSP5-Baseline",1,"World","million ha","Land Cover|Built-up Area","ANNUAL",67.19200000000001,62.94415625000001,78.082525,93.9193875,109.01675,122.5716625,129.2143625,134.1467625,137.21785,138.281825,137.3228625
