"model","scenario","region","variable","unit","version","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Income Inequality Model (2019)","SSP1","World","Gini Income Inequality Coefficient [weighted by Population]","",1,41.52493411966556,41.27733620724569,41.03081110494205,40.59998240045924,39.94386535176966,39.0387345852756,37.94165847205168,36.70102609744987,35.70929935283527,34.72570737958635,33.80834581563813,33.02899919106611,32.37627243323301,31.82317605113457,31.34853442279483,30.93972932432714,30.58138917588633,30.26530769796781
"Income Inequality Model (2019)","SSP2","World","Gini Income Inequality Coefficient [weighted by Population]","",1,42.07415798241814,42.39139122889411,42.66650366938808,42.80341090564399,42.73452945261621,42.54265175758772,42.29333560139463,41.97042033510269,41.55217139128008,41.10352431449658,40.67853668698583,40.24238022781716,39.87773889432623,39.56604203928757,39.29767860279967,39.06796468824343,38.87817463993402,38.68410460882495
"Income Inequality Model (2019)","SSP3","World","Gini Income Inequality Coefficient [weighted by Population]","",1,42.54614886927364,43.40735179834157,44.23808364187883,44.94781473011431,45.46021506539051,45.91131237106433,46.37805550796173,46.85844117048094,47.35541920347489,47.8633967691688,48.36310740802094,48.86933255510695,49.3695982804574,49.85961197016651,50.33145637509688,50.77063134998939,51.19759514822867,51.61326330009134
"Income Inequality Model (2019)","SSP4","World","Gini Income Inequality Coefficient [weighted by Population]","",1,42.69347390177979,43.77777141622358,44.96880908065945,45.93280023775147,46.75569454736436,47.38669119648043,47.87915836466134,48.26091042521893,48.53392850813196,48.67743434446381,48.6931151798757,48.59932749956259,48.37598876999468,48.11412498081349,47.84045142947196,47.55597770462914,47.26452030394645,46.98703703033897
"Income Inequality Model (2019)","SSP5","World","Gini Income Inequality Coefficient [weighted by Population]","",1,41.53633075788455,41.21850007425861,40.88281590310056,40.35152582850947,39.64665463167356,38.74207535587637,37.53524385856053,36.12263729891097,35.24861741701417,34.50949648019895,33.87178306221982,33.31369819222365,32.81955094472369,32.38377276690713,31.99993066331778,31.66670946002448,31.37093116780016,31.08950400235191
