"model","scenario","region","variable","unit","version","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2025","SSP2","World","Population|Female|Age 90-94","million",1,13.661208,16.503999,19.474672,26.126393,34.986318,41.988402,51.21131500000001,61.77089100000001,70.468188,74.380193,87.35915,100.745936,105.16236,106.98714,115.127777,127.736219
"IIASA-WiC POP 2025","SSP2","World","Population|Female|Age 95-99","million",1,3.809305,4.729002,5.949176,7.386462000000001,10.354884,14.252594,17.911158,22.842799,28.656086,34.245847,37.750856,45.89075800000001,54.811032,59.531259,62.638566,69.46591400000001
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 100+","million",1,0.126355,0.195552,0.257309,0.34816,0.46709,0.69269,0.972487,1.313751,1.766252,2.303155,2.973858,3.628502,4.789359999999999,6.199802,7.48286,8.637429000000001
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 65-69","million",1,138.083747,157.595879,179.315673,193.433752,196.137675,219.82788,242.742488,245.951391,245.171852,255.07465,270.836976,286.254475,287.26295,273.712855,275.583549,280.061192
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 70-74","million",1,105.499273,119.596709,137.798648,158.175309,171.835883,175.073275,197.515989,219.60966,223.640569,223.764007,233.865064,249.702747,265.365427,267.385695,255.322385,258.106418
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 75-79","million",1,66.980243,84.85700100000001,97.38585499999999,113.625848,131.965,144.781549,148.533639,169.13243,189.871652,194.72782,195.847213,205.939053,221.599484,237.294191,240.410824,230.184074
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 80-84","million",1,37.494282,47.947351,61.645106,71.956731,85.415023,100.757135,112.140535,116.326647,134.228751,152.730264,158.298468,160.409764,170.143701,185.130205,200.365904,204.599643
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 85-89","million",1,18.512879,21.955498,28.9484,37.91718,45.364409,55.144948,66.41682300000001,75.56908,79.899561,94.02005199999999,109.066523,114.976675,118.026124,126.926261,140.470934,154.457479
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 90-94","million",1,6.333493000000001,7.906561,9.783856,13.411166,17.98318,22.27657,27.955558,34.591368,40.685504,44.424169,53.789957,64.145252,69.58216,73.12683100000001,80.546142,91.52305
"IIASA-WiC POP 2025","SSP2","World","Population|Male|Age 95-99","million",1,1.327483,1.690079,2.20764,2.863769,4.102654999999999,5.640515000000001,7.311849,9.540053,12.1733,15.008121,17.259254,21.759146,26.988403,30.707164,33.769514,38.659881
