"model","scenario","region","variable","unit","version","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2025","SSP1","World","Population","million",1,8151.639502999999,8451.654950000011,8697.886148,8898.47698400001,9068.179129,9197.26589,9272.459831,9291.49420000001,9262.628475,9194.25579800001,9091.470013,8955.234254,8784.080006000011,8580.48005399999,8349.284528,8092.718561
"IIASA-WiC POP 2025","SSP2","World","Population","million",1,8151.639502999999,8496.67780299999,8816.982553999991,9110.647602000001,9371.223953000012,9593.835625,9774.329533,9915.62058599999,10018.754076,10089.017444,10126.760397,10131.293063,10105.524366,10054.936789,9982.23312099999,9888.32250699999
"IIASA-WiC POP 2025","SSP3","World","Population","million",1,8151.639502999999,8540.674873,8936.490333000002,9335.193417999999,9706.101510999992,10053.370644,10385.414238,10715.564809,11035.843193,11345.68469,11639.466597,11917.913969,12187.706193,12455.247927,12719.468823,12977.730222
"IIASA-WiC POP 2025","SSP4","World","Population","million",1,8151.639502999999,8526.524994000001,8900.515471,9265.824488999991,9600.111600999991,9906.908419000009,10193.008867,10465.930165,10716.551755,10944.47353,11146.522655,11324.181765,11483.814637,11632.636954,11771.211075,11896.522082
"IIASA-WiC POP 2025","SSP5","World","Population","million",1,8151.639502999999,8451.38349200001,8697.06252499999,8897.25988900001,9066.96537800001,9196.604738999991,9272.65935800001,9292.788176000002,9265.30933899999,9198.808122000011,9098.610143,8965.745971,8798.603963,8599.395049,8372.74266999999,8120.503842
